"","alpha","beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","sigma","method","metrics"
"1","-1.78278527667001e-14","0.0292980049895392","0.123076404494198","0.0345065150497142","0.0681466892081384","0.162496880516999","1.26470809255371","iNim-RW","mean"
"2","-0.000876497347513184","0.0307591426235351","0.119945258623105","0.0342903059383498","0.0693701924543522","0.159223146745203","1.26331063018496","MCMC","mean"
"3","-1.34054420509122e-05","0.0295502261931686","0.122781924685404","0.0336760820326493","0.0708039214036642","0.161855545705592","1.26558907262942","iNim2-RW","mean"
"4","6.44900697346953e-14","0.050089356416593","0.0875098175892465","0.0483817235267613","0.0665062620480934","0.0913818720109188","0.0177350028018681","iNim-RW","sd"
"5","0.0553976906813993","0.051543429562068","0.0851473654421522","0.0475834838410022","0.0675121838739312","0.0864955829711507","0.111586191877794","MCMC","sd"
"6","0.0387710008972793","0.0512996140924288","0.084905162673897","0.0480663703986061","0.0686457965506029","0.0904523367600552","0.0803929937446777","iNim2-RW","sd"
