"","alpha[1]","alpha[2]","alpha0","beta[1]","beta[2]","beta0","sigma","psi.fs","theta2","method","metrics"
"1","-0.77007221088359","0.884173984393763","-0.653685267370405","0.0953802131723919","0.811086319169422","1.7397567130732","0.638287641280211","0.52",NA,"iNim-RW","mean"
"2","-0.802623573704655","0.970431329475258","-0.491245184114773","1.39664023749085","-0.608274058216855","0.654998668364507","234.82699905771","0.52",NA,"MCMC","mean"
"3","-1","1","-0.45","2","-2","2.197","1","0.4664","10","truth","mean"
"4","0.200460295965155","0.18448623116915","0.207899725131323","0.997499827165779","1.49123813739133","0.864966514432575","0.004402317454293","0.138075409945038",NA,"iNim-RW","sd"
"5","0.177497853552237","0.178404395285157","0.151130055099874","2.99248238654696","2.18101350469146","1.52591645503945","911.816457563904","0.0245316696886605",NA,"MCMC","sd"
