"","beta[1]","beta[2]","beta[3]","gamma[1]","gamma[2]","method","metrics"
"1","0.763255448614136","-1.03139431268926","0.83310304711644","1.11493567890254","-0.488294055733505","iNim-RW","mean"
"2","0.214872143619124","-1.05148021549774","1.12375740236474","1.29084313969154","-0.599564962601976","MCMC","mean"
"3","0.766869420152445","-1.06948115710626","0.83167242738338","1.4836531929558","-0.633268820479948","iNim2-RW","mean"
"4","1.59788890535741","-1.04283980037201","0.834022175460643","1.29743873378692","-0.564347227953224","MLE","mean"
"5","0.0221085777719307","0.0421543200209275","0.0128687877637264","0.316558080412648","0.131410146691434","iNim-RW","sd"
"6","0.636818227383268","0.0917414577751437","0.338500793904933","0.41260270746747","0.195644085006518","MCMC","sd"
"7","0.0871424676954889","0.0708540883177273","0.0465364724951914","0.250562286723124","0.105781929546956","iNim2-RW","sd"
"8","0.0855381404017615","0.0999882965679098","0.0936267766997663","0.373852234233078","0.162963810779388","MLE","sd"
