"","alpha[1]","alpha[2]","alpha[3]","alpha[4]","beta[1]","beta[2]","beta[3]","beta[4]","method","Ntotal","metrics"
"1","0.420829180758066","0.234786728945218","-0.355524039728515","0.065742649088774","-1.93400761349079","-0.500130698017575","-1.36077557102032","-0.754172271395886","iNim-RW","80","mean"
"2","0.242139930659194","0.304506768471369","-0.33374244584603","0.0433874242678892","-1.91168388777076","-0.492097064428824","-1.38064363600125","-0.762069168378229","MCMC","83","mean"
"3","0.255164443695823","0.297779128591767","-0.368936935047778","0.00907848560096654","-1.98941623590259","-0.412597999616759","-1.5067446326551","-0.707300598509755","MLE","86","mean"
"4","0.0642667989151898","0.0612126652344534","0.0241078557771524","0.0146566244817913","0.290155298895735","0.143960240160103","0.319203096747256","0.175847315860562","iNim-RW","2.58388149967456","sd"
"5","0.220673516972373","0.169774032646794","0.150106311875145","0.0889827018498197","0.283939871982292","0.144997193769814","0.313454860361938","0.177081078913101","MCMC","4.858045502114","sd"
"6","0.223997786471129","0.177275217851503","0.152116090871033","0.0885560998757227","0.244533031796036","0.134418651185636","0.246705104737747","0.161731375540857","MLE",NA,"sd"
