"","a_ESS","beta[1]_ESS","beta[2]_ESS","tau_ESS","method","timeTaken","a_Eff","beta[1]_Eff","beta[2]_Eff","tau_Eff"
"1","5094.28519062419","5143.61237942032","5741.92112361452","5970.25978686738","iNim-RW","76.1803430863222","0.018575385227845","0.0187552478581863","0.0209368719708391","0.0217694674133046"
"3","688.601608204608","1140.76703716691","975.866657158494","10000","MCMC","2.19707989692688","313.416735170976","519.219641835754","444.165302556119","4551.49583498866"
"intercept","4316.95406112556","4487.631323645","4787.92983694647","7744.34806060071","iNim2-RW","54.2036384459337","0.0221231256839765","0.0229977966850226","0.0245367386469733","0.0396875164894524"
